"Settings";"Configuration"
"Filter";"Afficher les filtres"
"Init";"Vider les filtres"
"Header";"Entête"
"Number of items";"Nombre de lignes"
"User";"Utilisateur"
"Created at";"Créé le"
"No message";"Aucun message"
"Permissions [%s] added to group [%s]";"Permissions [%s] ont été ajoutées au groupe [%s]"
"Permissions [%s] added to user [%s]";"Permissions [%s] ont été ajoutées à l'utilisateur [%s]"
"Groups [%s] added to user [%s]";"Les groupes [%s] ont été ajoutées à l'utilisateur [%s]"
"Creator";"Créé par"
"User [%s] enabled";"Utilisateur [%s] activé"
"User [%s] validated";"Utilisateur [%s] validé"
"User [%s] password changed";"Utilisateur [%s] mot de passe modifié"
